delete,rewrite,text,type,options,tag,auto_label,suggested_options,simulated_answers,grade
,,What is a food that should never be put on pizza?,multiple_choice,Pineapple|Anchovies|Olives,,MC (suggested),Pineapple|Anchovies|Olives,Pineapple | Pineapple | Anchovies | Pineapple | Pineapple | Olives | Pineapple,A
,,Name a pizza topping everyone argues about,multiple_choice,Pineapple|Anchovies|Olives,,MC (suggested),Pineapple|Anchovies|Olives,Pineapple | Pineapple | Anchovies | Pineapple | Pineapple | Olives | Pineapple,A
,,What is the most awkward social situation?,multiple_choice,Forgetting someone's name|Awkward silence|Running into an ex,,MC (suggested),Forgetting someone's name|Awkward silence|Running into an ex,Forgetting someone's name | Forgetting someone's name | Awkward silence | Forgetting someone's name | Forgetting someone's name | Running into an ex | Forgetting someone's name,A
,,What is the most overrated holiday?,multiple_choice,Valentine's Day|New Year's Eve|Valentine's,,MC-ternary (strong),Valentine's Day|New Year's Eve|Valentine's,Valentine's Day | New Year's Eve | Valentine's Day | Valentine's Day | New Year's Eve | Valentine's | Valentine's Day,A
,,What is the biggest lie everyone tells?,multiple_choice,I'm fine|I'm on my way|I read the terms and conditions,,MC (suggested),I'm fine|I'm on my way|I read the terms and conditions,I'm fine. | I'm fine. | I'm on my way. | I'm fine. | I'm fine. | I read the terms and conditions. | I'm fine.,A
,,What is something people need to stop bragging about?,multiple_choice,Money|How busy they are|Social media followers,,MC (suggested),Money|How busy they are|Social media followers,Money | How busy they are | Money | Social media followers | Money | Money | Money,A
,,What would be the worst thing to hear a doctor say?,multiple_choice,It's cancer|It's terminal|We made a mistake,,MC (suggested),It's cancer|It's terminal|We made a mistake,It's cancer. | It's cancer. | It's cancer. | It's terminal. | It's cancer. | We made a mistake. | It's cancer.,A
,,Is cereal a soup?,multiple_choice,Yes|No,,Open (no data),,,
,,What is the universal sign that a party is boring?,multiple_choice,Everyone on their phone|People looking at their phones|Awkward silence,,MC (suggested),Everyone on their phone|People looking at their phones|Awkward silence,Everyone on their phone | People looking at their phones | People looking at their phones | Awkward silence | Everyone on their phone | People leaving early | People on their phones,A
,,"If you could make one food zero calories, what would it be?",multiple_choice,Pizza|Chocolate|Ice cream,,MC (suggested),Pizza|Chocolate|Ice cream,Pizza | Pizza | Chocolate | Pizza | Pizza | Ice cream | Pizza,A
,,What is the best guilty pleasure TV show?,multiple_choice,The Bachelor|The Bachelorette|Real Housewives of Beverly Hills,,MC (suggested),The Bachelor|The Bachelorette|Real Housewives of Beverly Hills,The Bachelor | The Bachelorette | The Bachelor | Real Housewives of Beverly Hills | The Bachelor | Real Housewives of Atlanta | The Bachelor,A
,,What would you bring to a deserted island?,multiple_choice,Water filter|Knife|Lighter,,MC (suggested),Water filter|Knife|Lighter,Water filter | Knife | Water filter | Lighter | Water filter | Water filter | Water filter,A
,,Toilet paper: over or under?,multiple_choice,Over|Under,,MC-binary (strong),Over|Under,Over | Over | Over | Under | Over | Over | Under,A
,,Name something adults do that they tell kids not to,multiple_choice,Swearing|Swear|Interrupting,,MC (suggested),Swearing|Swear|Interrupting,Swearing | Swear | Interrupting | Swearing | Texting while driving | Swear | Swearing,A
