id,source,type,question,option1,option2,option3,option4,rating
1,,multiple_choice,"What is a food that should never be put on pizza?","Pineapple","Anchovies","Olives",,x
2,,multiple_choice,"Name a pizza topping everyone argues about","Pineapple","Anchovies","Olives",,x
3,,multiple_choice,"What is the most awkward social situation?","Forgetting someone's name","Awkward silence","Running into an ex",,g
4,,multiple_choice,"What is the most overrated holiday?","Valentine's Day","New Year's Eve","Christmas",,g
5,,multiple_choice,"What is the biggest lie everyone tells?","I'm fine","I'm on my way","I read the terms and conditions",,g
6,,multiple_choice,"What is something people need to stop bragging about?","Money","How busy they are","Social media followers",,g
7,,multiple_choice,"What would be the worst thing to hear a doctor say?","It's cancer","It's terminal","We made a mistake",,rq
8,,multiple_choice,"Is cereal a soup?","Yes","No",,,g
9,,multiple_choice,"What is the universal sign that a party is boring?","Everyone on their phone","People leaving early","Awkward silence",,g
10,,multiple_choice,"If you could make one food zero calories, what would it be?","Pizza","Chocolate","Ice cream",,x
11,,multiple_choice,"What is the best guilty pleasure TV show?","The Bachelor","Love Island","Real Housewives of Beverly Hills",,ra
12,,multiple_choice,"What would you bring to a deserted island?","Water filter","Knife","Lighter",,x
13,,multiple_choice,"Toilet paper:","Over","Under",,,x
14,,multiple_choice,"Name something adults do that they tell kids not to","Swearing","Staying up late","Interrupting",,ra
15,,multiple_choice,"If you could ban one thing from existing, what would it be?","Mosquitoes","War","Hate",,g
16,,multiple_choice,"What is the least attractive accent?","Southern American","Bostonian","Southern drawl",,x
17,,multiple_choice,"If your pet could talk, what would they say about you?","Feed Me Now!","More Belly Rubs!","Let's Go Outside!","You're My Favorite",g
18,,multiple_choice,"What do you pretend to understand but actually don't?","The Stock Market","Fine Art","Cryptocurrency","Sports Rules",g
19,,multiple_choice,"What would be the worst superpower?","Read peoples thoughts�All of them","See through clothes�All of them","Super smell�All the smells",,r
20,,multiple_choice,"Name something nobody looks cool doing","Eating a banana","Running for the bus","Applying sunscreen",,g
21,,multiple_choice,"What is the most overrated food?","Avocado Toast","Sushi","Truffle Fries",,g
22,,multiple_choice,"What is something you would never do for a million dollars?","Harm an innocent person","Kill an animal","Betray my family","Eat human waste",g
23,,multiple_choice,"What is the worst thing to step on barefoot?","Lego","Glass shard","Dog poop",,x
24,,multiple_choice,"What is the worst fashion trend of all time?","Bell bottoms","Mullets","Crocs",,g
